order_id,number_of_cross_sell_dishes,status,payment_status,points_number,discount_sum,payment_summ,created_at,appmetrica_device_id,app_version_name,total_number_of_dishes,has_cross_sell_dish
1465586,0,30,2,0.0,0.0,2040.0,2022-12-01 01:02:42,4306362370530090801,2.4.05,4.0,False
1465600,0,30,2,0.0,0.0,2180.0,2022-12-01 07:38:23,4994613668142732169,2.4.05,4.0,False
1465614,0,30,2,0.0,0.0,665.0,2022-12-01 09:39:07,18112568961131665160,2.4.05,2.0,False
1465630,0,30,2,0.0,0.0,3635.0,2022-12-01 10:42:39,6235636741139378309,2.4.05,7.0,False
1465634,0,30,2,0.0,0.0,890.0,2022-12-01 10:48:23,17089236984790285682,2.4.05,2.0,False
1465638,0,30,2,0.0,0.0,3040.0,2022-12-01 10:56:44,3204043279789181579,2.4.05,5.0,False
1465657,0,30,1,0.0,0.0,1490.0,2022-12-01 11:42:37,11000663197402303630,2.4.05,4.0,False
1465662,0,30,2,0.0,0.0,1480.0,2022-12-01 11:46:26,3530711721752013187,2.4.05,3.0,False
1465663,0,30,2,0.0,0.0,1110.0,2022-12-01 11:46:26,10175648815406255841,2.4.05,2.0,False
1465664,0,30,2,0.0,0.0,1790.0,2022-12-01 11:46:30,6125092831376014960,2.4.05,3.0,False
1465672,0,30,2,300.0,300.0,770.0,2022-12-01 11:52:31,3476614855309651898,2.4.05,2.0,False
1465675,0,30,2,0.0,0.0,870.0,2022-12-01 11:53:28,17977594041943464898,2.4.05,2.0,False
1465680,0,30,2,0.0,0.0,1540.0,2022-12-01 11:58:22,13341322879658460115,2.4.05,3.0,False
1465693,0,30,2,50.0,0.0,940.0,2022-12-01 12:07:34,16978388966477153828,2.1.3,2.0,False
1465695,0,30,2,0.0,0.0,1030.0,2022-12-01 12:08:16,14749164880022427814,2.4.05,2.0,False
1465703,0,30,2,0.0,0.0,2090.0,2022-12-01 12:11:00,2111715844439153700,2.4.05,1.0,False
1465711,0,30,2,0.0,0.0,1370.0,2022-12-01 12:15:33,6735369055284617677,2.4.05,2.0,False
1465715,0,30,2,0.0,0.0,1490.0,2022-12-01 12:19:23,5544880306238490188,2.4.05,1.0,False
